Program_ID,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,Oxidative Phosphorylation,0.9181987254073699,3.0412044038921473,0.0,0.0,0.0,164/200,6.10%,ATP5MC3;COX7C;COX5B;ATP5PO;COX8A;COX7B;NDUFA4;MDH1;COX6B1;COX5A;COX6C;ATP5F1B;ATP5MC1;ATP5MC2;UQCRB;SLC25A3;UQCR10;LDHB;ATP5MG;ATP5PF;COX4I1;ATP5F1C;ATP5F1D;SLC25A4;UQCR11;NDUFB2;ATP5F1A;ATP5MF;UQCRH;ATP5PD;NDUFS6;UQCRFS1;UQCRQ;ATP5PB;MGST3;NDUFS8;NDUFB8;SLC25A5;NDUFA1;NDUFB7;CYCS;NDUFA6;NDUFB4;COX7A2;NDUFAB1;NDUFS7;NDUFB6;NDUFC1;MDH2;ECH1;NDUFA8;UQCRC1;COX6A1;NDUFB3;NDUFS2;CYC1;SLC25A6;VDAC1;NDUFA2;NDUFV2;ATP5F1E;ETFB;GPX4;ATP5ME;NDUFA7;NDUFB5;SDHB;NDUFS3;PDHA1;NDUFC2;TIMM8B;VDAC2;ECI1;UQCRC2;NDUFV1;SUCLG1;PRDX3;PHB2;NDUFA3;MRPS15;COX7A2L;CYB5R3;ETFA;NDUFB1;HADHB;VDAC3;ATP6V1F;IMMT;POLR2F;ACO2;MRPL34;SDHD;IDH2;ATP6V0E1;OXA1L;FH;SLC25A11;LDHA;MRPS12;TIMM13;MRPL15;GOT2;ACAA1;IDH3B;HADHA;ATP6V1G1;PDHB;MPC1;SDHC;ECHS1;ACAA2;TOMM22;ISCU;NDUFA5;HSD17B10;ACAT1;DLD;SDHA;GPI;NDUFS4;CS;DECR1;ATP1B1;IDH3G;ATP6V0B;NDUFS1;ATP6AP1;CYB5A;COX17;ATP6V0C;TIMM50;ATP6V1D;ACADM;MRPL35;MRPS11;NDUFA9;ATP6V1E1;TIMM9;AIFM1;GRPEL1;TIMM10;BCKDHA;BAX;MRPS22;FDX1;IDH3A;ACADVL;HCCS;MRPL11;SURF1;DLAT;ALAS1;HSPA9;MRPS30;MFN2;BDH2;TOMM70;LRPPRC;TIMM17A;PMPCA;NQO2;ISCA1;PHYH;AFG3L2
1,prerank,Myc Targets V1,0.8487014029338804,2.8476791197126152,0.0,0.0,0.0,138/199,8.12%,COX5A;RPS10;SLC25A3;RPS6;RPLP0;RPS3;RPS2;RPL18;RACK1;RPS5;RPL34;PPIA;NDUFAB1;RPL6;RPL14;CYC1;EEF1B2;VDAC1;HSPE1;PGK1;HSP90AB1;PRDX3;PHB2;NAP1L1;HSPD1;RPL22;VDAC3;C1QBP;SNRPD2;PSMB3;TUFM;CNBP;HNRNPA1;PCBP1;LDHA;PSMA2;MRPS18B;EIF4G2;SSBP1;GOT2;CCT3;SNRPD3;ERH;SSB;RAN;TXNL4A;LSM7;NPM1;HDDC2;NHP2;SNRPG;CCT4;SERBP1;UBE2L3;AIMP2;COPS5;CCT5;APEX1;XRCC6;CCT7;NME1;PSMA7;PSMD8;LSM2;YWHAE;PSMA6;VBP1;PSMA4;ABCE1;SNRPB2;PSMA1;HDGF;SET;EIF1AX;POLD2;PSMD7;EIF3D;CDK4;PTGES3;GLO1;PA2G4;EPRS1;RSL1D1;IMPDH2;PRDX4;DUT;HDAC2;SRM;EIF4H;PSMB2;PPM1G;PRPF31;RANBP1;HNRNPA2B1;EIF2S2;CCT2;PSMC6;ACP1;YWHAQ;RUVBL2;PSMC4;FBL;EXOSC7;SF3A1;SNRPD1;SNRPA;KARS1;U2AF1;CANX;TOMM70;TRIM28;CBX3;KPNB1;NCBP2;DEK;RNPS1;NOP16;GSPT1;PSMD1;HNRNPD;STARD7;TCP1;CSTF2;SNRPA1;EIF4A1;MRPL9;PABPC1;DDX18;ILF2;HNRNPA3;EIF4E;CLNS1A;MRPL23;EIF2S1;ETF1;SRSF2;PSMD3;PABPC4
1,prerank,Fatty Acid Metabolism,0.7451637339082487,2.4226896672609444,0.0,0.0,0.0,71/157,7.06%,MDH1;MIF;MDH2;ECH1;ENO3;PCBD1;PSME1;PDHA1;ECI1;ALDOA;SUCLG1;PRDX6;HADHB;ACO2;SDHD;ACOT2;FH;LDHA;ACAA1;IDH3B;GRHPR;PDHB;HSP90AA1;SDHC;ERP29;ECHS1;ACAA2;UROD;HSD17B10;DLD;SDHA;APEX1;DECR1;ECI2;IDH3G;G0S2;OSTC;GSTZ1;HADH;ACADM;GLUL;HSDL2;CRAT;UROS;GPD1;HSPH1;ALDH9A1;SMS;NSDHL;SERINC1;ACOT8;NTHL1;UBE2L6;ACADVL;HCCS;GABARAPL1;PTS;REEP6;CRYZ;HMGCL;ADSL;ALDH3A2;CYP1A1;ALAD;GCDH;BLVRA;DLST;DHCR24;YWHAH;MLYCD;CPT2
1,prerank,Adipogenesis,0.7022264866333874,2.3498651817786342,0.0,0.0,0.0,92/200,8.39%,CHCHD10;ATP5PO;COX8A;COX7B;UQCR10;UQCR11;UQCRQ;MGST3;NDUFB7;NDUFAB1;MDH2;ECH1;UQCRC1;COX6A1;CYC1;ETFB;GPX4;SDHB;NDUFS3;APOE;DDT;ALDOA;SUCLG1;PRDX3;CD151;IMMT;ACO2;SOD1;REEP5;CAVIN1;GHITM;MRPL15;APLP2;UBC;SDHC;ECHS1;MTCH2;ACAA2;G3BP2;NDUFA5;DLD;HSPB8;SCP2;CS;DECR1;IDH3G;VEGFB;TALDO1;HADH;ACADM;AK2;SSPN;PLIN2;AIFM1;PEMT;CRAT;GRPEL1;PGM1;BCKDHA;DNAJC15;SAMM50;IDH3A;DLAT;COQ3;QDPR;COL4A1;ARAF;CAT;RIOK3;ALDH2;COQ9;REEP6;RAB34;GPX3;PTCD3;PREB;PHYH;SULT1A1;SLC25A1;JAGN1;DHRS7;YWHAG;CPT2;DHCR7;DGAT1;DBT;NKIRAS1;ACADS;TST;FAH;ESRRA;RTN3
1,prerank,Reactive Oxygen Species Pathway,0.805720419157179,2.2231373338364686,0.0,0.0,0.0,25/49,6.50%,PRDX2;NDUFA6;NDUFB4;NDUFS2;LAMTOR5;GPX4;PFKP;PRDX6;PDLIM1;SOD1;ATOX1;TXN;PRDX1;GLRX;SOD2;PTPA;PRDX4;MGST1;GLRX2;HMOX2;CAT;EGLN2;STK25;GPX3;PRNP
1,prerank,DNA Repair,0.629011183998048,2.051864894322067,0.0,0.0,0.0,58/149,8.01%,MPC2;EIF1B;RBX1;GPX4;EDF1;AK1;VPS28;APRT;POLR2F;BCAM;POLE4;TAF10;POLR2I;NME4;POLR2E;BCAP31;GUK1;DAD1;SUPT4H1;DDB1;NME1;COX17;GTF2A2;MRPL40;ERCC1;POLR2G;TAF9;POLR2K;GTF2H5;NT5C;POLR3GL;POLD4;IMPDH2;USP11;DUT;MPG;POLR1D;SDCBP;ITPA;CANT1;NME3;TSG101;SURF1;SNAPC5;CETN2;NCBP2;NELFE;POLR2J;AK3;DGUOK;SSRP1;ADRM1;GMPR2;ALYREF;POLR2C;TAF6;GTF2F1;NUDT9
1,prerank,mTORC1 Signaling,0.6185571094443703,2.0372666098984045,0.0,0.0,0.0,90/199,11.11%,ATP5MC1;GAPDH;TPI1;PPIA;HSPE1;PGK1;ALDOA;HSPD1;IMMT;PSMB5;LDHA;MLLT11;GOT1;PRDX1;GLRX;CALR;ENO1;GPI;COPS5;ATP2A2;CACYBP;CCT6A;PSMA4;PSMA3;ATP6V1D;PDAP1;RAB1A;EPRS1;PPA1;CYP51A1;SEC11A;TM7SF2;TCEA1;RPN1;PGM1;EBP;SERPINH1;IFI30;IGFBP5;LTA4H;ARPC5L;CCNG1;HSPA4;TOMM40;EIF2S2;STIP1;EEF1E1;UNG;PSMC6;PSMC4;QDPR;HSPA9;CANX;HMBS;TUBG1;PSME3;PSMC2;HSPA5;SDF2L1;TFRC;SLC2A1;RIT1;DHCR24;ACTR3;SC5D;ABCF2;PSMG1;HSP90B1;EGLN3;DHCR7;SHMT2;FADS1;LGMN;PSMD13;ETF1;XBP1;M6PR;TMEM97;ACSL3;TUBA4A;AK4;FKBP2;YKT6;UBE2D3;NAMPT;PFKL;MCM4;PHGDH;SSR1;ACLY
1,prerank,Myogenesis,0.5933889022207779,1.9949002211377158,0.0,0.0,0.0,69/199,7.76%,TNNI1;MYL4;FABP3;MYL7;TNNC1;ACTC1;PGAM2;CRYAB;MYL3;CKM;CSRP3;FXYD1;CKMT2;ENO3;TCAP;MB;GABARAPL2;AK1;TNNT2;MYL2;GSN;SH3BGR;MYH7;SYNGR2;EIF4A2;HSPB8;MYL6B;HRC;COX6A2;ACTN2;BAG1;IGFBP3;PFKM;SGCA;HSPB2;ATP6AP1;CKB;ITGB1;PTP4A3;APP;PDLIM7;SSPN;CTF1;SOD3;CRAT;PYGM;FDPS;MRAS;KCNH2;SORBS3;OCEL1;CHRNB1;AEBP1;FLII;MYO1C;GPX3;TAGLN;COL4A2;PRNP;TNNI2;RIT1;PPP1R3C;ACTA1;CASQ1;CASQ2;CHRNG;SPTAN1;DES;AGL
1,prerank,UV Response Up,0.5798774219728684,1.893870989272794,0.0,0.00018932548493141255,0.001,75/158,13.17%,SELENOW;SLC25A4;BSG;ALDOA;CLTB;ATP6V1F;NKX2-5;PRKACA;ACAA1;PPIF;UROD;AP2S1;KLHDC3;SOD2;CDC34;GRINA;RRAD;DNAJA1;PDAP1;TMBIM6;TARS1;BTG1;PSMC3;FGF18;RPN1;GRPEL1;FKBP4;CYB5R1;STIP1;WIZ;PDLIM3;ALAS1;KCNH2;STK25;RXRB;GPX3;CCND3;SPR;CDO1;CYP1A1;SULT1A1;TFRC;PPP1R2;CASP3;COL2A1;CDKN1C;DGAT1;CDC5L;PARP2;MRPL23;IGFBP2;CNP;EIF2S3;TST;BAK1;NPTXR;POLR2H;CREG1;HYAL2;TUBA4A;YKT6;SIGMAR1;NFKBIA;RHOB;SLC6A8;HNRNPU;BTG3;TAP1;ASNS;CYB5B;IRF1;APOM;AMD1;PPT1;PPAT
1,prerank,Unfolded Protein Response,0.594893714229161,1.8351344754850991,0.0,0.00017039293643827128,0.001,53/112,12.24%,RPS14;EEF2;BANF1;SPCS1;ATP6V0D1;EIF4EBP1;CALR;NPM1;EIF4A2;NHP2;PAIP1;IFIT1;YIF1A;LSM1;LSM4;TARS1;BAG3;YWHAZ;IMP3;POP4;SEC11A;EXOSC1;PDIA6;SRPRA;EXOSC4;EIF4G1;DCTN1;HSPA9;PREB;HSPA5;EIF4A1;TUBB2A;EXOSC2;HSP90B1;EIF4E;EIF2S1;KIF5B;XBP1;DNAJB9;CEBPB;NOLC1;DKC1;HYOU1;NOP56;IGFBP1;SPCS3;SSR1;CKS1B;FKBP14;EXOSC5;SDAD1;SRPRB;ASNS
