Program_ID,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,p<0.05_genes,-0.4176598316764351,-1.4170055246217095,0.0016155088852988692,0.0031982942430703624,0.004347826086956522,121/346,16.87%,PPP1R9A;SOX6;KIF13A;EXT1;WDPCP;RANBP17;AFF3;CACNA2D1;TMTC1;EDA;PTPRG;ACACB;ZDHHC14;DCLK2;BCKDHB;PRDM16;GRK5;MID1;NAALADL2;BICD1;KAZN;ARHGAP31;PRDM5;FREM1;FRY;DST;HIVEP3;RORA;MIR181A2HG;UBAC2;NT5C2;BACH2;PLCE1;MED12L;PACS1;SLF2;PHF21B;TRMT9B;NCOA3;GARNL3;TGFBR3;PHLDB2;PPP2R2B;LINC00174;ARHGAP28;UACA;NECTIN3;MARK3;ANKAR;NR3C1;POT1-AS1;CEMIP2;PLS3-AS1;CNKSR2;ZSWIM5;CFAP70;SNCAIP;LINC01482;ZMAT1;LIMA1;TGFB2;EPS15L1;STRBP;TMEM178B;CLCN5;SOX18;KCND3;MPP3;PHKA2;MBD2;MYBL1;NMNAT3;HMGA2;ERRFI1;TTLL7;ADAMTS14;DNAH12;KLHL13;SPARCL1;RBFOX1;ADGRD1;DZIP3;ANKRD33B;APCDD1L-DT;DIO2;GSDMB;LGALSL-DT;PCSK6;FGF14;CACNA2D3;SEZ6L;CRISPLD1;KCNN3;RPGR;CYP4B1;COL16A1;TBC1D2;TTC8;CRB1;PLEKHH1;PDE5A;FCN3;ITGB8;LINC00578;FRZB;WIPF3;LINC02827;LINC02028;C5AR1;NRK;DUBR;SOCS2-AS1;GADD45B;LINC02755;GOLPH3;FMN1;GALNT15;LINC01208;ESR1;SAMD12-AS1;GSG1L
1,prerank,upregulated_genes,-0.5247669802097193,-1.750093435801875,0.0,0.0,0.0,127/273,21.41%,EXT1;TANC2;RANBP17;AFF3;HDAC2-AS2;DIAPH3;BBOX1-AS1;TENM4;MID1;SLC44A5;FREM1;CARMIL1;RORA;BACH2;CREB5;PLCE1;TENM3;KLRD1;SYTL5;P3H2;MED12L;PHF21B;FLRT2;PPP2R2B;ARHGAP28;ALDH1A2;ARSJ;LINC02552;GRIA3;PLS3-AS1;LINC02008;MAP2;SYNPR;COLQ;CNKSR2;GPR173;LINC02798;LINC02680;SNCAIP;HS3ST5;LINC02427;NRG1;TGFB2;ATRNL1;ITGAL;LINC00906;C1QTNF2;GRIA1;MOXD1;ADAM19;DDAH1;MYBL1;ZNF385D;NRXN3;HMGA2;TTLL7;CYP2J2;ADAMTS14;GNA14;ZNF423;ATP8B1;ANKRD33B;CDCA3;DIO2;ASPN;GSDMB;SLC24A2;AZIN2;AGMO;ATCAY;FGF14;SEZ6L;ITGBL1;CRISPLD1;LRP1B;IFNG-AS1;KCNN3;LINC02080;COL16A1;CRB1;XKR4;ARFGEF3;LINC00578;CLSTN2;FRZB;LINC01340;PAK1;LINC02827;LINC02028;C5AR1;LUM;NRK;SOCS2-AS1;ITIH5;LINC02755;RERGL;LINC02408;LINC01208;ESR1;SAMD12-AS1;GSG1L;SHB;CCDC168;UNC80;CCN1;PRRT2;LINC00670;MALRD1;GLYATL2;BRINP1;AK5;FARP1;CNBD1;ATP6V1FNB;SOHLH2;P2RY14;GNA14-AS1;PROM1;COL14A1;STARD4-AS1;ARID5A;SEMA5B;CNTN4;RIPOR2;SLC16A9;CPXM2;LINC01915
2,prerank,upregulated_genes,0.5473179151915103,1.548666956212043,0.0,0.0,0.0,68/273,14.53%,TENM4;AFF3;TANC2;RANBP17;EXT1;HDAC2-AS2;BBOX1-AS1;SLC44A5;FREM1;SYTL5;MID1;DIAPH3;TENM3;CARMIL1;CREB5;RORA;BACH2;GRIA3;PLCE1;COLQ;LINC02427;KLRD1;PHF21B;SNCAIP;CNKSR2;PLS3-AS1;ARSJ;MED12L;CYP2J2;LINC02798;LINC02008;ARHGAP28;MOXD1;P3H2;PPP2R2B;GPR173;SOCS2-AS1;HS3ST5;ADAMTS14;ADAM19;AZIN2;LINC02552;GSDMB;COL16A1;LINC00906;FLRT2;DDAH1;AGMO;HMGA2;LINC02680;SLC24A2;ALDH1A2;FGF14;ASB18;TMEM272;SYNPR;CRISPLD1;UNC80;LINC02028;COL21A1;LINC02080;SOHLH2;TTLL7;TMEM184A;PTENP1-AS;GDNF-AS1;LINC01340;ANKRD33B
2,prerank,p<0.05_genes,0.5283411436588636,1.505305849786962,0.0,0.0,0.0,103/346,11.94%,PPP1R9A;SOX6;KIF13A;EDA;CACNA2D1;AFF3;WDPCP;TMTC1;RANBP17;EXT1;DCLK2;ACACB;ZDHHC14;ARHGAP31;BCKDHB;NAALADL2;FRY;PTPRG;DST;FREM1;PRDM16;GRK5;HIVEP3;PRDM5;BICD1;MID1;UBAC2;TGFBR3;NT5C2;RORA;PHLDB2;PACS1;TRMT9B;KAZN;BACH2;MIR181A2HG;NCOA3;PLCE1;ANKAR;NMNAT3;UACA;GARNL3;POT1-AS1;PHKA2;ZMAT1;MARK3;SLF2;PHF21B;SNCAIP;CNKSR2;PLS3-AS1;NECTIN3;MED12L;LINC00174;DCBLD2;ARHGAP28;DZIP3;MPP3;PPP2R2B;NR3C1;TGFBR2;TTC8;EPS15L1;SOCS2-AS1;ZSWIM5;STRBP;LINC01482;LGALSL-DT;TNS2;CFAP70;ADAMTS14;CEMIP2;KLHL13;LIMA1;MBD2;KCND3;GSDMB;HECTD2;PEX3;COLGALT2;COL16A1;DYNC2LI1;APCDD1L-DT;DUBR;HMGA2;RAB40A;FMO4;PLEKHH1;WIPF3;TMEM178B;KLHL31;FGF14;ADGRD1;ASB18;CRISPLD1;STAT3;PPTC7;NECTIN1;LINC01128;UNC80;KIF3A;PLIN5;LINC02028
8,prerank,upregulated_genes,0.6573526592373525,1.395453139761804,0.019,0.028018679119412946,0.027,49/273,7.52%,SEZ6L;SYNPR;P2RY14;LINC02827;LINC01208;TENM4;ZNF385D;GRIA3;GLIPR1L2;LINC01479;RHBDL2;KIAA1755;LINC01476;LINC02408;LINC02008;CNKSR2;IFNG-AS1;STAC3;RORA;KLRD1;TRIM59;CNBD1;LINC00670;MALRD1;BBOX1-AS1;DIAPH3;CRB1;P3H2;ABCG2;LINC02427;FAM186A;ITGBL1;LINC02028;FREM1;LINC00906;PLS3-AS1;HS3ST5;GSDMB;TENM3;LINC01250;LINC02680;RXRG;LINC02798;RANBP17;CYP2J2;SNCA;NRXN3;CRISPLD1;ESR1
17,prerank,downregulated_genes,0.6201640015576836,1.4242535036461703,0.002,0.008005336891260841,0.008,54/328,7.67%,AREG;SPARCL1;FER1L6;ADAMTS5;PCSK6;KCNK3;PARVB;NNMT;NFATC4;FGF10;PHACTR3;AKR1C1;CD109;ANGPT1;IFITM3;PDE11A;AZGP1;MYH6;CD276;PIM1;LRRC32;BMPER;MYBPC1;NGF;GJA4;CCND3;FAM78B;TIMP3;SLC25A18;PPP1R14A;QSOX1;SMTNL2;GPAT2;PEBP4;NUDT4;GFRA1;NID1;LINC00844;PLTP;EDNRB;DIRAS1;ITGA11;PYGO1;TSKU;HS6ST3;ZBTB16;RTL8A;ZNF682;LOXL1;H19;COX17;CD248;MTFP1;GGT5
17,prerank,upregulated_genes,0.5751338813089718,1.3078787434145955,0.03203203203203203,0.03702468312208139,0.065,54/273,8.99%,FRZB;ATRNL1;SFRP1;COL14A1;MAP2;C1QTNF2;TGFB2;PTN;XKR4;GRIA1;KCNN3;NRK;MATN2;PIK3IP1;VAT1L;KCP;PTENP1-AS;MID1;PAK1;SOX4;PHLDA1;LINC00702;P3H2;SNCA;LINC00377;CREB5;FARP1;CARMIL1;SLC43A2;MYBPHL;SLC16A9;PRRT2;SDSL;ACADL;CLSTN2;SHB;RXRG;SLC35G3;HMGA2;LINC01748;FGF14;ANKRD1;TTLL7;CNBD1;PNCK;LINC00968;UNC80;LINC02234;CARNS1;ZNF385D;DDAH1;LINC02233;AEBP1;LINC01479
17,prerank,p<0.05_genes,0.5647726437251512,1.2934203489989153,0.028028028028028028,0.030020013342228154,0.077,66/346,9.13%,SPARCL1;CACNA2D3;FRZB;PCSK6;COL14A1;PARVB;NNMT;TGFB2;KCNN3;NRK;MEIS3;MATN2;IFITM3;MID1;SLC25A6;HS6ST1;NGF;GJA4;CCND3;FAM78B;ITGB8;TIMP3;QSOX1;SMTNL2;ATP6V0E1;PEBP4;TSC22D1;NUDT4;PTPRG;DAAM2;NID1;TGFBR2;GNG7;TFE3;ARHGAP1;SLC16A9;PRRT2;EDNRB;HLTF;BCL2L1;ENO1;MCFD2;NME2;ZNF682;HMGA2;LINC01748;FGF14;TTLL7;COX17;CDC42EP4;CNBD1;TMTC1;AP2S1;PLEKHH1;GGT5;CHDH;UNC80;PSKH1;HECTD2;PLA2G5;GARNL3;SEPTIN9;CYLD;MON1B;HNRNPF;S1PR3
24,prerank,upregulated_genes,0.6754100305044214,1.3986384926506397,0.008,0.018000000000000002,0.017,51/273,8.45%,GNA14-AS1;PLCE1-AS1;FRZB;GNA14;C1QTNF2;PTN;MAP2;TMEM184A;P3H2;COL24A1;ANKRD34C-AS1;LINC00578;CDCA3;ATRNL1;HMGA2;TTLL7;XKR4;CREB5;SNCA;COL14A1;XIRP2;ZNF385D;CYS1;SCARA3;HDAC2-AS2;KCNN3;MXRA5;CNKSR2;DIAPH3;PRICKLE2-AS3;TRIM59;MATN2;LINC01794;ALDH1A2;EXT1;COL9A1;LRP1B;FSIP1;ARFGEF3;PHLDA1;SDSL;AEBP1;TGFB2;PHF21B;ARHGAP28;CD83;ITGA8;COL16A1;SERTAD4;LINC01208;LINC02008
27,prerank,upregulated_genes,0.715874388709286,1.5164810894591698,0.0,0.0,0.0,58/273,7.87%,ASPN;HAPLN1;SERTAD4;LUM;NIPAL4;MFAP4;GNA14;TGFB2;IER3;NRK;CCN1;PHLDA1;ANKRD1;COL14A1;KCNK6;SLC1A7;ZNF385D;PROM1;PIK3IP1;LINC02188;AEBP1;SNCAIP;MYOC;PTN;SFRP1;FRZB;FLRT2;NPPB;MATN2;FARP1;PAK1;MYBPHL;SNCA;ITGA8;SLC16A9;EXT1;DDAH1;ATP8B1;LINC00702;GPR173;SLC43A2;MAP2;MID1;P3H2;LINC00670;ARFGEF3;UNC80;BEND6;RGS17;CARNS1;ARID5A;ATRNL1;SOX4;BACH2;CNBD1;SHB;GSDMB;CLSTN2
