Program_ID,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
1,gs_ind_0,downregulated_genes,67/2085,7.203368689997524e-11,2.1610106069992573e-10,5.544463710676244,129.4847802650438,NDUFB8;LINC00881;ACO2;FABP3;NDUFA7;RBX1;EMP2;NDUFA12;SNRPD2;SMDT1;CD81;HSPE1;UQCRFS1;MRPS6;SDHB;ACOT13;CD63;MDH2;MRPS15;CIAO2B;NDUFB6;PPP1R1A;MTCH1;NDUFC2;CKMT2;NDUFAB1;PDHA1;ATP5PB;FTH1;NDUFA6;SNHG32;NDUFS2;PNKD;EEF1A1;PSMA2;HADHB;BRI3;ETFB;NAXE;VDAC1;DDT;NKX2-5;NDUFB1;HSPB1;PGAM1;DKK3;PSMB5;TMEM14C;MRPS21;MRPS36;EIF3M;PGK1;PKM;PNRC1;NDUFS6;LDHA;SNHG29;ECH1;MRPS12;COX7A2L;EEF1B2;ATP6V0E1;IDH2;TMEM258;COX5A;CNBP;PRDX6
4,gs_ind_0,downregulated_genes,49/2085,1.1383902643694373e-07,3.415170793108312e-07,4.80225176247764,76.78070834942754,RHOC;TST;PRKRA;LONRF3;SNHG8;KANK3;SERPINB8;MIR22HG;PTBP1;APOD;RSL1D1;RNPS1;CEBPB;JAGN1;SNHG1;EIF4A1;MYC;SNHG7;ATG101;YRDC;PVT1;GGNBP2;ELF4;IL6R;TPGS1;GADD45B;DDX21;ZFAS1;BIRC3;TGIF1;CEBPG;CTU1;CLMN;GLO1;PIM3;PNRC1;LRTM1;ZNF770;DNAJC25;ITPKC;CDC42EP1;SNRPB;TWIST2;RNF114;UBE2L3;FTL;KAZN-AS1;CNBP;MDM2
8,gs_ind_0,upregulated_genes,43/2102,0.00017815071516867308,0.0005344521455060193,2.796912811596927,24.145414495172858,ADAMTS3;DOK5;DENND5B;IL1R1;KCNMB2-AS1;ITGA2B;RHBDL2;SAMMSON;RFLNA;P2RY14;STPG4;PROX1-AS1;ZNF385D;TCF4;DNAH12;SPANXA2-OT1;ULK4;SLC4A4;ESYT3;PTPRT;SETBP1;LINC00640;NKAIN3;GRIA3;TTTY10;SLC9B1;ERC2;COL19A1;LINC02827;SYNPR;KHDRBS2;LINC01208;SEZ6L;FLACC1;HAAO;MAPK10;LINC01479;FAT3;MYO3B;MGLL;TENM4;GLIPR1L2;KIAA1328
11,gs_ind_0,downregulated_genes,46/2085,0.0022968849141482704,0.006890654742444812,2.089973032606031,12.69909719042721,SSR2;LINC01807;DRAM1;MCFD2;CTSL;CLPTM1L;SPCS3;CD81;IL13RA1;CD63;GRN;PCYOX1;SAMSN1;PGRMC1;NCSTN;PPIB;PLD3;TMED9;CHPF;PVT1;LMAN1;CD59;SLC11A1;C1GALT1C1;CALR;RCN1;TMEM59;LPAR5;EMC7;OSTC;ATP6AP1;RABAC1;PDIA4;CDC42EP2;GALNTL6;SDF4;TMED10;P4HA2;TMED4;FOXO3B;TMEM98;TMEM258;RPN2;P3H4;LMAN2;LAMP1
19,gs_ind_0,downregulated_genes,58/2085,3.0184068500614192e-05,9.055220550184258e-05,2.6448828606658448,27.528460019841738,RHOC;CLIC1;RBX1;GLA;BNIP3;RHOD;CD63;TRIM16L;MIR22HG;MRPS15;CIAO2B;ETFRF1;STRAP;SNHG7;MYC;CARD6;TYMS;SNHG1;EIF4A1;BTG3;NFKBIB;TMED9;GSR;ABCB6;DNER;IL15RA;FTH1;GSTO1;NDUFA6;ZFAS1;TMEM59;TXN;NQO1;EMC7;GCLM;HTATIP2;OSGIN1;TMEM14C;MAFG;SEC61B;ENO1;CNIH4;NRG1;LDHA;NGF;CCT5;COX17;PRDX1;RNF114;URM1;EMG1;TKT;FTL;MPDU1;RPN2;CNBP;PRMT5;MDM2
22,gs_ind_0,upregulated_genes,35/2102,0.0003078909010131948,0.0009236727030395844,3.0705325692655485,24.827604949513454,LINC02008;KCNMB2-AS1;RUNX2;CT69;LINC00504;XAF1;ATP13A5;CLSTN2;SAMD12-AS1;NAALADL2-AS2;CPEB2-DT;ROBO2;RNF217-AS1;SETBP1;MAGI1;KALRN;MEF2C-AS1;KCNN3;SHROOM3;PIK3R6;PROM1;SLC6A1;MLLT3;RERGL;CADPS;PPP2R2B;LINC00861;MIR99AHG;CFAP221;CNBD1;GABRB1;C4BPA;CCDC63;GLIPR1L2;NXNL1
25,gs_ind_0,upregulated_genes,31/2102,0.0030590372760091276,0.009177111828027383,2.5005358435916003,14.47723992005203,SAMMSON;LINC02343;NRK;CSMD3;LINC00578;SHANK2;LRP1B;PCDH15;CNTN4;GRID2;DIO2-AS1;DCC;SLC4A4;ZNF385C;CD74;AQP9;LINC00377;LINC01500;VAT1L;DRAIC;PROM1;MIR4422HG;EYS;LINC01950;ADAM18;NRG1;BEGAIN;ZEB1-AS1;MYO3B;LINC02755;PLCZ1
26,gs_ind_0,downregulated_genes,68/2085,1.1518467960690474e-09,3.4555403882071424e-09,4.533261382260063,93.30312914803869,RHOC;PRKRA;TAGLN2;SLC1A5;FES;ALOX5;FABP5;VIM;SNHG8;LONRF3;CD63;SLC39A1;KANK3;MIR22HG;NIP7;RSL1D1;CLCF1;RNPS1;CEBPB;STRAP;SNHG7;MYC;SNHG15;TYMS;SNHG1;PGRMC1;SAT1;ADRB1;EIF4A1;ATG101;YRDC;SRSF8;GATA2;KCNK12;LMAN1;IL6R;MYL12B;SNHG32;SHISA3;ZFAS1;GNB2;TXN;CEBPG;PFDN2;KLF10;PLEKHF1;TMEM14C;GLO1;PSMA5;PIM3;ENO1;CNIH4;NRG1;COPS3;LLPH;AQP3;CDC42EP1;RNF114;SNRPB;DGUOK;XBP1;KCMF1;FTL;PRR13;CNBP;IL15RA;MDM2;CCNG1
29,gs_ind_0,upregulated_genes,28/2102,0.0014494652775378428,0.004348395832613529,2.9768618944323935,19.45843806563163,CEACAM1;ZBTB7C;A2ML1-AS1;HHAT;CNTNAP2;SYT17;STPG4;MALRD1;SHANK2;TMPRSS9;LRP1B;LINC02160;RORA;LINC02188;FRY-AS1;OPRM1;RXFP2;PODXL2;COL21A1;CCDC62;LINC00243;DENND6A-AS1;ATF7IP2;FSIP1;SLC37A1;GSG1L;ZNF536;PLCZ1
30,gs_ind_0,downregulated_genes,52/2085,0.0008052454870003133,0.00241573646100094,2.1713091432786538,15.469195334524578,CLIC1;PIGH;ABHD4;GLA;ABHD3;VIM;GPX3;SERPINB8;LOXL1;ADAMTS1;EGF;PSMC2;CEBPB;KCNB1;DUSP1;MYC;PLEKHM1;CD276;PSMB2;GSR;ABCB6;TIMP1;CTSD;IL6R;PSMA6;GSTO1;PSMA2;TMEM104;HSPB1;GPRC5A;TXN;NQO1;MIDN;GCLM;PSMB5;HTATIP2;OSGIN1;PSMD1;DAP3;PSMA5;MAFG;PSMC3;CRLF1;ISG20;AQP3;PRDX1;ATP6V0E1;FTL;MPDU1;SLC22A1;SLC1A5;BLVRB
32,gs_ind_0,downregulated_genes,51/2085,0.00041526311913761993,0.00124578935741286,2.320389940198247,18.0679441702159,RHOC;DAPP1;ZNF595;DRAM1;LINC00482;TSKU;VIM;ZNF195;GPX3;SNHG8;ANKRD11;KANK3;ETF1;DDX39A;PTBP1;RSL1D1;MT2A;ZNF57;RNPS1;SAMSN1;EIF4A1;PLIN2;ZNF543;YRDC;SYF2;CTSD;GGNBP2;FTH1;IP6K3;KAZN;PTMA;EI24;LAMP1;ATP6AP1;VEZF1;ID3;DNAJC25;FOXO3B;TSC22D1;AQP3;DDIT4;PPAN;TAF4B;NOCT;ATP6V0E1;FTL;ABCF1;SNHG7;MDM2;TNFRSF10B;SERPINE1
34,gs_ind_0,downregulated_genes,57/2085,2.3992679855839577e-05,7.197803956751873e-05,2.720563367363902,28.940705009811207,GLA;SEPTIN4;SNHG8;GPX3;NUDC;SERPINB8;DDX39A;RHOB;ETF1;APOD;PSMC2;CEBPB;SNHG1;EIF4A1;SAT1;PSMB2;ZBTB43;YRDC;DNAJB9;CTSD;PSMA6;KATNBL1;PSMD7;SNHG32;ZFAS1;PSMA2;MAP1LC3B;CCT8;TGIF1;DDA1;TXN;NQO1;CTU1;GTPBP4;GCLM;PSMB5;EIF4A3;HTATIP2;OSGIN1;MAFG;PSMA5;PSMC3;FOXO3B;LRTM1;DNAJC3;ALOX5AP;ALG3;TIMP4;SNRPB;URM1;UBE2L3;FTL;PFDN2;CD40;SNHG7;SLC1A5;BLVRB
35,gs_ind_0,upregulated_genes,27/2102,0.007749087097262603,0.02324726129178781,2.3694133419919767,11.515775896746291,LINC01794;CNTD1;RASGEF1C;LINC01340;CSMD3;STPG4;XAF1;NAALADL2-AS2;FSTL4;GRID2;FAP;TP63;OPRM1;SATB1-AS1;SAMD9L;UNC13C;PIK3C2G;AK5;KIRREL3;EDIL3;PLCZ1;MIR4422HG;GFRA2;TMEM233;NCKAP5-AS2;ESR1;ST6GALNAC5
37,gs_ind_0,upregulated_genes,40/2102,0.0005862292990078084,0.0017586878970234253,2.6002346041055717,19.350424705916282,ESR1;TBCK;GLIS1;TNR;IFNG-AS1;SAMMSON;DCLK2;PCNX2;LINC00501;LHFPL6;FMN1;GLI3;ZNF385D;SHANK2;BCL2;DNAH12;MAGI2;DOK6;PTPN7;RXFP2;BACH2;DPH6;GPM6A;RIMS2;LINC01479;TMEM72-AS1;ARRDC3-AS1;OPCML;TEX41;SPRED2;KCNMB2;KCNS3;LINC02755;NEK11;DLGAP1;MIR4300HG;ENPP2;TENM3;ZNF536;CMTM7
40,gs_ind_0,upregulated_genes,44/2102,0.002128254570409202,0.006384763711227606,2.1591319750943443,13.283958182615729,GLCCI1;KCNMB2-AS1;LINC01191;A2ML1-AS1;SAMMSON;RFX7;CNTNAP2;BNIPL;CSMD3;P2RY14;CCDC192;BICC1;OVAAL;LRP1B;LINC01915;GRID2;AGMO;STK38;DCC;UNC5D;KCNN3;UNC13C;LINC02069;LINC01500;NRXN3;DIPK2A;HMGN1;PROM1;BABAM2;GPR18;SLC9B1;PHF21B;CELF6;GNG12-AS1;EYS;SRCIN1;USP9Y;NRG1;SPRED2;STX16;FLRT2;TMSB15B-AS1;SLC38A6;ANKRD23
