Program_ID,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,downregulated_genes,0.681129795569261,2.4050678768958655,0.0,0.0,0.0,164/366,12.06%,COX5A;RPL10;SLC25A4;ACTC1;RPLP0;PGAM2;GAPDH;HSPB7;NDUFB11;PRDX5;CKM;MDH2;SMDT1;HINT1;PEBP1;KRT8;PSMB6;DDT;ALDOA;PFN1;TRAPPC1;PRDX6;APRT;MRPL34;IDH2;ACOT2;TMSB10;APOBEC2;FIS1;LDHA;GTF3C6;RNF5;TSPO;EIF4EBP1;MIEN1;LAPTM4A;CISD3;PRDX1;IFITM3;SSR3;ARL2;GPX1;CST3;HSD17B10;VKORC1;PPP1R16A;G0S2;IGFBP4;HCFC1R1;RABAC1;MYH6;PLP2;S100A4;TESC;HINT2;ZNF576;TXNDC17;PLIN2;CTSL;ARF3;TMED1;SNAPC2;RNASEH2C;IMP3;SMIM1;ANAPC15;CHPF;GPD1;SEPHS2;CTSD;SCO2;MGST1;GLRX2;COQ10A;DUSP23;SNHG8;SHISA4;HMOX2;DCAF11;EEF1E1;MRPL11;B4GAT1;SMTNL2;MRPL49;IFITM2;FANCF;EPN3;AP5S1;TUBB;TUBA1B;NUDT8;RASD1;TINF2;TRIAP1;MIF4GD;GPX3;CCND3;ARPC1B;GCHFR;CALCOCO2;TUBB4B;BMP7;HSPA5;MIR210HG;MLX;ARMT1;CDK2AP2;ZNF664;PIFO;CNPY2;SLC10A3;TUBB2A;LINC01003;SERPINF1;TMEM60;INO80C;RIIAD1;PPP1R3G;S100A8;C1GALT1C1;GAS2L1;GALK1;FABP5;NAGS;FBXO6;DCUN1D3;SLC31A2;TWF2;SYS1;SLC39A1;SMIM15;FLJ20021;CDC42EP2;GFER;MTA1;PARS2;RPP40;DNAJB9;CPTP;PPP1R14A;FAM86B1;ETNPPL;SELENBP1;ZNF703;SYT13;ARL4D;CHAC2;HMGB3;TMEM115;TUBA3D;CHL1;ZNF816;SCN10A;TTC30A;DDTL;YDJC;MANSC1;CA14;MOG;PUSL1;CYB561D2;METTL18;RAB5C;COA7
1,prerank,p<0.05_genes,0.450983499901542,1.6143192810004672,0.0,0.0,0.0,134/428,7.71%,CHCHD10;COX5B;COX5A;COX4I1;SLC25A4;PGAM2;UQCRFS1;HSPB7;NDUFB9;NDUFB11;NDUFS8;PRDX5;NDUFA6;NDUFAB1;CKM;MDH2;SLC25A6;PGAM1;SMDT1;NDUFV2;HINT1;PEBP1;SNU13;PSMB6;PGK1;DDT;TMEM14C;ALDOA;TRAPPC1;PRDX6;MRPS36;MRPL34;IDH2;PSMB5;APOBEC2;GHITM;FIS1;MRPS7;LDHA;MRPS18B;TIMM13;GTF3C6;RNF5;FUNDC2;TSPO;CD59;EIF4EBP1;ERH;LAPTM4A;IFITM3;SSR3;MRPL14;ACTR1A;GPX1;CST3;ACAT1;AIMP2;BNIP3;DSP;DAD1;COPS5;APEX1;ATP1B1;MRPL16;MMADHC;LAMTOR1;URM1;GTF2A2;IAH1;TALDO1;BLVRB;HADH;MYH6;PTGES2;S100A4;TMED4;HINT2;LYRM2;ASB8;EMC4;CTSL;ARF3;PGLS;TMED1;RNASEH2C;IMP3;LSM8;COPS8;ANAPC15;CHPF;GRPEL1;SEPHS2;SRPRA;PSMB2;GLRX2;COQ10A;SHISA4;HTRA1;HMOX2;DCAF11;MPDU1;EEF1E1;MRPL37;MRPL18;SMTNL2;MRPL49;CHCHD7;AP5S1;RBM42;TUBA1B;GTPBP8;TINF2;GPX3;CNPPD1;CALCOCO2;TUBB4B;MCFD2;SNRPA1;ARHGAP1;MLX;ARMT1;CDK2AP2;FUCA2;ALG12;TMEM60;COPB1;NUDCD2;C1GALT1C1;NIF3L1;GALK1;SPTAN1;TMEM9B;DES;HNMT
1,prerank,upregulated_genes,-0.626482650378127,-2.1156200657895945,0.0,0.0,0.0,222/335,26.89%,KCNQ5;KCNH7;ARHGAP6;ADGRL3;EXT1;GPR39;DIAPH3;MID1;CUX2;PTCHD4;MDGA2;RORA;ROBO2;FAT3;BACH2;PLCE1;PWRN1;SKAP1;KLRD1;SPOCK1;ADAMTSL1;ANKS1B;BRIP1;P3H2;MED12L;PHF21B;FLRT2;PPP2R2B;THSD7A;COL12A1;BRCA2;CRAT37;TRPC3;ARSJ;TIAM1;PLS3-AS1;MAP2;HS3ST4;COLQ;CNKSR2;GPR173;GPR137C;HS3ST5;ALCAM;HMCN1;NRG1;KCND2;LINC00486;TXK;ATRNL1;ZNF730;STRADA;LEPR;DTL;ASPM;CIT;DLGAP1;ABCC4;TMEM236;LINC01500;KCNT2;ZNF385D;NRXN3;HMGA2;PRMT8;ADAMTS14;DNAH12;LINC01122;IQSEC3;MCF2L2;UNC13A;NETO2;NOL4;ZNF423;AMPH;SPATA6L;LINC01588;RECQL4;SYTL2;HELLS;ANKRD33B;ZPLD1;PTPRN2;CLDN4;TG;CENPA;ATP1B4;DNAH8;PREX2;SEZ6L;NKAIN3;CDH18;ARHGAP11A;MUC13;MFSD2B;LRP1B;CTNNA2;CHRNE;FSTL4;SLCO1C1;STAT4;CCDC60;SELPLG;TMEM132E;CCDC88C;TMEM72;PLPP4;PLAC1;CRB1;MSH4;KCNH5;PLD5;RGS20;ADGRB1;NDST4;PFKFB1;LINC00609;CACNA1A;LINC00578;LINC01478;CLSTN2;NRXN2;P2RY8;SNX31;MYO3B;LINC00937;DCC;C5AR1;LINC00877;NRK;ADAM18;PDZRN4;SLC45A2;GRIN2B;SLC39A12;NOX4;ADCY10;PRKCB;GSG1L;PAPPA;WNT9A;RHOH;NLRP7;UNC80;GRIA2;CPA6;UNC13C;RGS7;TNR;EYS;LINC00670;MTFR2;TTC29;ANKDD1B;NTRK2;PARD6G;MEGF10;PTPRO;FARP1;RYR1;PAQR6;GPC3;KSR2;SLC6A12;HRH4;GRIK4;PROM1;LRRN2;ERICH3;ZBBX;ZAR1L;GRIA4;MIR3681HG;DMC1;CNTN4;ATP2B2;SLC16A9;LINC01258;SHANK2;PLPPR5;LINC00536;NPFFR2;SLIT1;CELF4;GRM7;CA10;LINC00922;SPAM1;RELN;GRM3;PRRX2;AVIL;MROH2B;SNTB1;STK31;PLEKHH2;CLEC18B;RAB3C;HORMAD2;SH2B2;LRFN2;MIR4300HG;CCDC144NL;SLC30A8;PAX2;TNNT1;COL22A1;LINC01242;TRIM59;ADAM33;RIMBP2;DEF6;DAZL;CHD5;GALNT3;SLC8A3;FMN2;LINC00640;SLC43A2;SGCZ;NYAP2;RBFOX3
2,prerank,upregulated_genes,0.5158089675360108,1.4651473392256116,0.0010604453870625664,0.0006963788300835655,0.001,77/335,14.91%,KCNQ5;KCNH7;ARHGAP6;ADGRL3;EXT1;GPR39;FAT3;CUX2;MID1;PTCHD4;DIAPH3;COL12A1;SPOCK1;RORA;BACH2;ROBO2;ADAMTSL1;MDGA2;PWRN1;PLCE1;THSD7A;COLQ;SKAP1;KLRD1;PHF21B;CNKSR2;ANKS1B;NKAIN3;PLS3-AS1;ARSJ;MED12L;ABCC4;ALCAM;TMEM72;TRPC3;P3H2;PPP2R2B;GPR173;RELN;CRAT37;HS3ST5;ADAMTS14;HS3ST4;KCNMB4;STRADA;LEPR;GPR137C;HMCN1;FLRT2;SYTL2;HMGA2;TXK;KCND2;PFKFB1;PLAC1;SPATA6L;LINC01122;ZNF730;SLFN12L;PAQR6;AMPH;SLC45A2;STAT4;UNC80;KCNT2;BRIP1;PAX2;AVIL;LRFN2;MCF2L2;PRSS38;CAPN12;PAPPA;ANKRD33B;ITGA10;NOX4;TMEM236
2,prerank,downregulated_genes,-0.6633941497441225,-2.3845488548433376,0.0,0.0,0.0,141/366,8.03%,GAPDH;RPLP0;RPL10;COX5A;PFN1;SLC25A4;PRDX5;NDUFB11;HINT1;ACTC1;TMSB10;MDH2;PSMB6;ALDOA;PEBP1;HSPB7;PRDX1;GPX1;PRDX6;SMDT1;PGAM2;KRT8;CKM;TRAPPC1;DDT;TUBB;CST3;FIS1;RNF5;MRPL34;LDHA;APRT;TUBA1B;IDH2;IFITM3;MIEN1;SSR3;TUBB4B;RABAC1;ARL2;GTF3C6;EIF4EBP1;VKORC1;TXNDC17;LAPTM4A;APOBEC2;CTSD;HSPA5;HCFC1R1;HSD17B10;CISD3;HINT2;PLP2;ACOT2;TUBB2A;SNHG8;MGST1;PLIN2;CHPF;GLRX2;TMED1;TSPO;CDK2AP2;CTSL;S100A4;PPP1R16A;TRIAP1;MRPL49;SEPHS2;IMP3;S100A11;RNASEH2C;MRPL11;G0S2;NUDT8;ANAPC15;ARF3;HMGB3;S100A10;SNAPC2;IFITM2;ZNF664;SCO2;IGFBP4;GPX3;DUSP23;EEF1E1;ZNF503;ARPC1B;SHISA4;FABP5;MTHFD2;DNAJB9;MYH6;GCHFR;GFER;ZNF576;SLC52A2;ARL4D;SCD;SMIM1;B4GAT1;SLC39A1;HMOX2;RASD1;SMIM15;SLC10A3;ARMT1;PIM3;SERPINF1;PPP1R14A;IGFBP6;CCND3;TINF2;TMEM60;SYS1;MIF4GD;CYB561D2;COQ10A;CALCOCO2;AP5S1;RAB5C;LINC01003;DCAF11;MLX;CNPY2;TESC;TMEM115;DDIT4;TWF2;PUSL1;C1GALT1C1;FLJ20021;ZNF703;CPTP;GALK1;CHAC2;YDJC;SNHG15;DUSP13;FBXO6
3,prerank,upregulated_genes,0.6529911629937262,1.4875324720583316,0.0,0.0,0.0,66/335,10.70%,BRCA2;DTL;BRIP1;HELLS;ZNF730;DIAPH3;DMC1;TIAM1;COL9A1;RECQL4;CIT;NETO2;MTFR2;GPR137C;TRPC3;PLD5;MIR4500HG;ATRNL1;PLCE1;ADAM33;MDGA2;FAT3;FARP1;MED12L;KCNT2;ADAMTSL1;ANKS1B;PWRN1;ASPM;PFKFB1;MID1;GRIN2B;PREX2;AMPH;HMGA2;TMEM236;KCNQ5;THSD7A;TWIST1;STAT4;SLC16A9;ADAMTS14;LINC00937;PHF21B;HS3ST5;CNKSR2;ARHGAP11A;NOX4;GPC3;CUX2;FLRT2;CARD11;ERICH3;ZNF423;EXT1;TMEM132E;SCG5;ARSJ;ARHGAP6;ATP1A4;KCND2;SYT6;SNTB1;GPR173;ZAR1L;SPOCK1
6,prerank,downregulated_genes,0.6340189527177752,1.3337079351264924,0.007,0.02002002002002002,0.019,91/366,10.75%,TUBA1B;TUBB4B;CDCA2;TUBB;HMGB3;SHISA3;HINT1;STEAP1;LDHA;TMSB10;MGST1;PFN1;VKORC1;TMEM60;WDR62;RNF5;FABP5;HYLS1;ARL4D;PLP2;CHAC2;TUBB2A;RPLP0;IDH2;MIF4GD;RPL10;CALCOCO2;C1R;LRP4-AS1;RNASE4;LINC00964;ANAPC15;DLL1;RNASEH2C;TMEM220;CA14;HCFC1R1;FGF7;SLC31A2;CDK2AP2;PRDX6;LAPTM4A;PEBP1;ZNF576;SSR3;PSMB6;ARL2;HINT2;COX5A;MRPL34;DDT;PPP1R14A;NDUFB11;ARF3;TRAPPC1;MTHFD2;HSD17B10;TTC30A;FAM83B;PLIN2;SMIM15;YDJC;PIGA;BMP7;IL17RD;ACOT2;AP5S1;CPTP;S100A10;IFITM2;PPP1R3G;EPHB6;ZNF682;PIM3;EHD4-AS1;ARMT1;ACTC1;DNAJC25;RNASE1;ZNF816;SNAPC2;PIFO;SLC35A2;MRPL11;NUDT8;TESC;SMDT1;SCN10A;ZNF10;ZNF830;FAM86B1
6,prerank,p<0.05_genes,0.5953560166101345,1.2584928509514715,0.025,0.04804804804804805,0.085,104/428,10.59%,ASPM;CENPA;TUBA1B;TUBB4B;TRIM59;HINT1;LDHA;COL9A1;SFPQ;GTF2A2;KLHL13;TMEM60;CD59;RNF5;NUDCD2;ERH;DZIP3;SGCB;LSM8;UQCRFS1;SPTAN1;TMEM71;PDE3B;IDH2;AVIL;NIF3L1;HMGA2;HNMT;DSP;DIAPH3;CALCOCO2;ACTR1A;TMEM14C;TJP1;YPEL1;SCAF11;LINC00964;MID1;ANAPC15;RNASEH2C;CCSAP;COPB1;TMEM220;HADH;RBM42;PSMB5;AIMP2;SNRPA1;LYRM2;PGAM1;FGF7;ACAT1;CDK2AP2;PRDX6;LAPTM4A;GPC3;PEBP1;DLEU2;SSR3;PSMB6;BMI1;LYSMD3;HINT2;COX5A;KCNMB4;MRPL34;COPS8;RECQL4;DDT;NDUFB11;ARF3;GRIN2B;TRAPPC1;BPTF;PABPN1;EMC4;GTPBP8;IAH1;TALDO1;MRPL16;FUCA2;AP5S1;CPTP;SLC25A6;S100A10;BNIP3;MMADHC;ZNF682;MPDU1;PIM3;MRPL18;CHCHD7;ARMT1;MRPL37;PAFAH2;PSMB2;GRPEL1;COPS5;CPOX;PGLS;SOCS7;SMDT1;TCAIM;ZNF10
7,prerank,upregulated_genes,0.648578976866309,1.6347343243108763,0.0,0.0,0.0,84/335,9.99%,SKAP1;CTNNA2;PPP2R2B;ALCAM;ZDHHC19;PRKCB;SELPLG;MEGF10;TTC29;CACNA1A;TG;C5AR1;EYS;KLRD1;ADAMTSL1;TMEM72;MID1;COLQ;EXT1;PLCE1;P3H2;KCNH7;CCDC60;CYS1;SLC16A9;MDGA2;PLS3-AS1;GPR173;LINC00922;MRAP2;CRAT37;SRCIN1;CDH18;AFAP1L2;RELN;CUX2;RHOH;SLFN12L;PTCHD4;PRSS38;PLCE1-AS2;GRM7;SLC45A2;DIAPH3;NRXN3;LINC01393;ROBO2;RYR1;HMCN1;ABCC4;NRG1;GRIK4;CAPN12;LINC01588;NPPA;CNKSR2;LRAT;LINC01378;ARSJ;PRMT8;TIAM1;GPR137C;SH2B2;FAT3;GLDC;ADAM33;PREX2;P2RX1;ATP1B4;STAC3;FMN2;TMEM236;SNCA;ADGRL3;ZNF423;MUC13;MROH2B;TMCC3;PAPPA;MED12L;SLC43A2;GABRG3;CCDC144NL;FAM181A-AS1
7,prerank,downregulated_genes,-0.443928129685452,-1.931538288069365,0.0,0.0,0.0,155/366,17.42%,HSPB7;RPL10;KRT8;SSR3;IFITM3;RPLP0;CKM;ACTC1;LDHA;PFN1;LAPTM4A;GAPDH;PEBP1;EIF4EBP1;TMSB10;SLC25A4;HINT1;IGFBP4;COX5A;PRDX5;ALDOA;NDUFB11;APOBEC2;MDH2;TUBB;G0S2;TUBA1B;CST3;PLP2;MIEN1;VKORC1;DDT;IL17RD;SYT13;PSMB6;TUBB4B;CIDEC;CD163;MLPH;PRDX6;IDH2;MRPL34;FABP5;ACOT2;FIS1;IFITM2;TESC;TSPO;HSD17B10;SMDT1;ARPC1B;RNF5;GTF3C6;MGST1;SNAPC2;SEPHS2;APRT;EPN3;MRPL49;FAM83B;DCAF11;ANAPC15;LRRN3;RNASEH2C;SNHG8;HINT2;PPP1R14A;CISD3;ARL2;DNAJB9;FANCF;SLC10A3;SLC39A1;HCFC1R1;AREG;MLX;RAB5C;FLJ20021;PRIMA1;MTHFD2;ZNF576;MIAT;RHBDL3;GPX1;DUSP23;TMED1;TRAPPC1;CTSD;IGFBP6;GAS2L1;CCND3;ARMT1;TWF2;GCHFR;HOOK1;LRRC8E;EEF1E1;CA14;COQ10A;IMP3;CDK2AP2;MTA1;NUDT8;CPTP;LINC01003;GFER;HMGB3;TIMP4;MIF4GD;TUBA3D;FAM86B1;SMIM15;TNFRSF19;SELENBP1;ARF3;PARS2;SCO2;RABAC1;C1R;PPP1R16A;TMEM60;SHISA4;PPP1R3G;CTSL;FICD;TUBB2A;BLM;BCL10;B4GAT1;SMIM1;SREBF1;TNK1;PUSL1;PCDHB4;RASD1;ALG10;AQP4;DDIT4;CDCA2;TTC30A;SERPING1;C1GALT1C1;GGT5;STEAP1;LGR6;ARL4D;HSD17B7;TRIAP1;MED18;FGF7;LRP4-AS1;SPARCL1;PAN3-AS1;CNPY2;CHAC2
