Program_ID,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
1,gs_ind_0,downregulated_genes,268/2741,1.2413709498969382e-91,3.724112849690815e-91,69.75858647113954,14601.79945123,GTF3C6;RPSA;SOD1;MRPL12;NDUFAB1;BTF3;CSRP3;COX7B;RPL4;RPL12;C1QBP;DRAP1;ZNHIT1;TIMM17B;RPS28;CYC1;LDHB;NDUFC2;MPC2;MRPL41;NDUFA1;RPS5;BCAM;RPL21;EDF1;PSMB6;HSPE1;NDUFB7;RPS14;FIS1;CKM;ATOX1;MRPL34;TCAP;COX7A2;DDT;COMMD6;CFL1;NDUFA3;PRDX3;LAGE3;DYNLT1;TGM2;SLC25A11;TPI1;MB;VDAC3;NDUFB3;ACTC1;EIF1;MRPS18B;ARF5;NDUFA6;ISCA2;CSNK2B;PPP1R1A;TIMM8B;NDUFS8;TUFM;CISD1;LAMTOR2;RPL30;ACOT2;SPAG7;SRP14;TMEM147;PFDN6;DYNLL1;LAMTOR4;PKM;COA3;LDHA;EEF2;SLC25A5;FAM162A;GAPDH;MRPS36;APOE;LBH;NKX2-5;ALDOA;WDR83OS;TMEM14C;UQCR11;EMP3;LAMTOR5;RPL7A;PSME1;RPL10A;B2M;GYG1;BEX4;RPL18A;VDAC2;HSBP1;IMMT;PGAM1;SNU13;UQCRC1;NDUFB9;RPL26;MRPL36;MYL6;SMDT1;DBI;MRPS12;COX4I1;SPCS1;MRFAP1;SLC25A4;CD63;RPLP1;SNRPD2;PSMB3;MDH1;CYCS;ACOT13;CHCHD10;YBX1;MDH2;MRPS7;SLC25A3;TMSB10;HINT1;UFC1;NDUFB2;NDUFA4;RPL18;COX6B1;UQCR10;BSG;REEP5;NDUFB6;PRDX5;IDH2;GSTK1;SUCLG1;UBL5;RPS27;GABARAPL2;HSP90AB1;NOP10;MRPL57;NDUFS7;TIMM13;RPL10;RPL27;HSPB7;RPL22;NEDD8;TMEM223;RPS13;NDUFV1;SLIRP;JTB;RPS6;SSBP1;CRYAB;RPL5;POLE4;NDUFA13;RPL29;SLC25A6;EEF1B2;ARL6IP5;RPS9;RPL3;BANF1;PRDX6;EIF1B;UQCC2;PHB2;COX14;FAU;NDUFB8;PSMB5;PNKD;HSPD1;RPL36AL;ANAPC11;SUMO2;CUTA;FH;POLR2L;COX6A1;KRT8;NDUFA8;PLN;CKMT2;CRIP2;RPL41;COX7C;SERF2;OAZ1;RPS21;VDAC1;MTCH1;FITM1;CUEDC2;ALKBH7;PGK1;NDUFB10;GADD45GIP1;COX7A2L;FTH1;NDUFS5;EEF1A2;PARK7;SSR4;UBB;RPLP0;MRPS21;OXA1L;NDUFS2;HMGN3;RPS25;BRK1;TMEM141;APRT;DCXR;MRPL28;ESD;RPS16;UQCRFS1;UQCRB;RPS26;MRPL21;PCBD1;DCTN3;TMEM258;PCBP1;ATRAID;PGAM2;NDUFA11;TMEM126A;GHITM;AK1;CHCHD1;RPS8;NDUFS3;RPL8;MYL3;MRPS15;COX6C;RPS4X;MRPL20;TRAPPC1;RNASEK;APOBEC2;PEBP1;NDUFS6;NDUFA12;CNBP;PPIA;AURKAIP1;NDUFV2;SF3B5;NDUFB11;RPL11;COX5B;RPS27A;HSF1;NDUFB5;UQCRH;PFN1;PTRHD1;RPL6;COX5A
2,gs_ind_0,upregulated_genes,176/3539,5.315103122972501e-28,1.5945309368917503e-27,8.667932483749341,544.3620239425944,RANBP17;PRICKLE1;WDPCP;ARHGAP6;DLC1;ANTXR2;CADM1;IGF2BP2;SH3D19;WDFY3;RBPMS;PRKCA;SLC16A1-AS1;PAN3;PBX3;ARID1B;ZFAND3;SHROOM3;CCDC144NL-AS1;LDLRAD4;MAGI1;LTBP1;CDK14;CHSY3;MCC;CPEB3;PTPRD;MYRFL;EXT1;TTLL5;TCF7L2;MIR99AHG;RFX7;USP34;ZNF780B;BCAS3;DANT2;EXOC6B;FTO;TNIK;VPS54;COG5;DENND5B;SAMD12;STK33;MED13L;PTPRM;EFNA5;PPP1R9A;SPIDR;ERC2;NFIA;JAZF1;ZNF827;ATP9B;SOBP;TANC2;NFAT5;CLASP1;RBMS1;DGKH;RABGAP1L;MAP4K3;PHF21A;ADAMTS6;RICTOR;BAZ2B;FRY;FCHSD2;FNDC3B;NAV1;ARFGEF1;BTRC;SH3GL3;SSH2;TNRC6A;SORBS2;AKAP13;FAM120B;TTC17;TTN;MACF1;CLASP2;HERC4;MLLT3;RERE;GLCCI1;EPB41L3;CHKA;NSMCE2;ATXN1;NF1;KLF12;TSPAN5;ABHD18;NAV2;JMJD1C;NCKAP5;NCOA2;PCDH7;AKAP6;EDNRA;LGR4;INPP4B;DST;GPHN;DLEU2;NCOA1;TBCK;KMT2C;NEBL;EIF4G3;HDAC8;GPR39;VPS8;EXOC2;KCNQ5;FREM1;SCMH1;DCLK2;MLLT10;RASAL2;MBTD1;IGSF1;KIF13A;NAALADL2;RGL1;RAPGEF2;FTX;NRP1;SIPA1L1;UBR5;ASAP1;ERC1;BTBD9;CRADD;SOX6;RAD51B;SIPA1L2;TSC22D2;DLG2;ZCCHC7;KCNH7;REV3L;MBD5;TBC1D22A;SGMS1;NBEA;TNNI3K;ADGRL3;ZC3H12B;LPP;CAMK2D;MAGI2;GAB1;GUCY1A2;ZDHHC14;UBR3;ARHGAP24;ARL15;CDK6;ADAMTS9-AS2;ZNF704;RBMS3;ERBB4;TTC28;FBXL7;HDAC9;ANK2;CACNA2D1;ANK3;ROBO1;CDC42BPA;LMBR1;TENM4;LAMA2
3,gs_ind_0,upregulated_genes,72/3539,0.0005241027348076626,0.0015723082044229878,2.063852657796421,15.589977332612465,RANBP17;GINS2;DIAPH3;KIF24;C5;E2F1;BRIP1;CAMK4;RIMS2;NRG3;HMGB1;INAFM1;POLE;COL9A1;C1QTNF2;TIPIN;PLK4;TIAM1;LYPD6;CIT;IL12RB1;RAD54L;PRKDC;BRI3BP;TTF2;TONSL;LSM11;CENPU;RAD51B;POLQ;LIG1;PHLPP1;MTFR2;PBX4;XRCC2;CDKN2A;RTTN;HELLS;FANCD2;GPR137C;MND1;BRCA2;GINS1;DLEU2;MYBL1;RECQL4;POLE2;CLSPN;CCDC150;ZNF730;SHCBP1;FANCA;ORC1;CASP8AP2;DMC1;CHAF1A;RNASEH2B;ARHGAP11B;DNAJC9;KIF15;SMCHD1;NETO2;RBL1;KNTC1;DTL;TIMELESS;CHEK1;SMC4;MYO3A;EZH2;SPIDR;UHRF1
4,gs_ind_0,downregulated_genes,79/2741,4.481820824164046e-16,1.344546247249214e-15,6.789586551567469,239.95303307331793,EMC6;CSRP3;FAM200A;ZFAS1;ZNHIT2;HERPUD1;TAF7;TPGS1;PSMA7;EIF3D;GLO1;NR2C2AP;NTMT1;NIFK;EIF1;MRPS18B;SF3B2;SEPHS2;ZNF468;CREB3;CCDC137;TFAM;TIMM17A;MIR22HG;SF3B6;DUSP13;FTL;RNF114;MRFAP1;PIM3;PNO1;GCC1;SLC7A6OS;PSMD12;CEBPG;SCO2;EPB41L4A-AS1;TBRG1;NOL7;TRIAP1;GPX1;JAGN1;ZNF79;RPS19BP1;CEBPZ;DDIT3;MRPS30;SNHG12;ATP6V0B;BNIP1;DPH2;MRPL47;ZNF503;DDX21;EIF6;SERTAD1;ZNF770;APOD;CCDC59;BIRC3;DNAJC25;SPSB3;GAR1;SNHG8;CCDC86;PERM1;IL6R;CEP85L;CNBP;EXOSC4;PHF5A;CITED2;ARF4;TSSC4;GPN3;FBXL15;MAK16;RNPS1;NPTX2
7,gs_ind_0,upregulated_genes,79/3539,3.0461035845836664e-10,9.138310753750999e-10,5.016506285218899,109.92162386462276,CACNA1A;PIGN;FOXN4;COLQ;DPY19L2;ARFGEF3;CPNE8;PBX3;BCL11B;ARID1B;MID1;SHROOM3;LDLRAD4;MAGI1;SKAP1;SELPLG;PLXNA2;PRKG2;EXT1;STXBP5;RFX7;BIRC7;FTO;MEGF10;COG5;CPED1;ADAMTSL1;PTPRM;ERC2;CDC14A;ERG;ADCY2;FCHSD2;FNDC3B;BTRC;TNRC6A;SDK2;PPP2R2B;MLLT3;RERE;ATXN1;ZDHHC19;KLRD1;ALCAM;SLC12A8;NAV2;DGKI;CYP2C9;DSCAML1;EPHA4;CTNNA2;TMEM72;AMH;IL1RAPL2;KMT2C;EYS;DAW1;TRABD2B;RUNX1;SCMH1;NLGN4Y;RASAL2;TG;PRKCB;FBRS;RGL1;SRGAP1;LPAR1;C5AR1;BTBD9;ZCCHC7;FMNL1;COL13A1;ADAMTS12;VWDE;KAZN;ANK2;TTC29;SPTB
8,gs_ind_0,upregulated_genes,67/3539,1.0400194656655339e-10,3.120058396996602e-10,7.087257019438445,162.91202370631112,CD163L1;TGFBRAP1;CACNB4;ADGRG5;ZBBX;SLC45A2;DNAH12;S100Z;NELL2;DSCAML1;MUC13;FAT3;SPANXA2-OT1;RHOH;RXFP1;PHEX;ARHGAP44;PRMT8;SYCP2;CPNE8;BMPR1B;CNOT6L;SEZ6L;LINC01498;PTPRT;ANO4;DOK5;TM4SF1-AS1;GLIPR1L2;EFCAB8;CD200R1;KIAA1328;TENM4;SETBP1;SELPLG;MEI1;LINC01127;ATP2B2;MYRFL;NOX4;ULK4;GRIA3;MAPK10;ESYT3;MYO3B;CAMK2D;P2RY14;NKAIN3;MSANTD1;EFCAB13;ARHGAP24;KHDRBS2;IGSF11;MGLL;EML6;EPB41L3;STAB2;GPR39;ADAMTS20;ZNF385D;LINC00640;TXK;DENND5B;DPYS;ERC2;COLEC10;SLC12A8
9,gs_ind_0,downregulated_genes,81/2741,1.2945194926648518e-14,3.8835584779945554e-14,5.530496002775649,176.8544872347843,S100A4;COPB2;YIF1A;TMEM14B;PSAP;GJA4;VAMP5;SHISA4;PSMB6;EDF1;CTSD;ARL1;DDT;G6PC3;LAGE3;P4HB;CD74;HTRA3;SEC22B;CREB3;RABAC1;TUBB2A;APOL2;GAPDH;LINC00482;ALDOA;EMP3;GPT;GSTP1;DUSP13;DAD1;PPA1;MYL6;KCNK15-AS1;CD63;TMEM208;TMSB10;S100A10;PRDX4;HLA-C;PRDX5;MLPH;KDELR2;ACTB;JTB;AKR1A1;VKORC1;SELENBP1;SRPRA;TUBA4A;MYDGF;TMBIM6;PLA2G4F;S100A11;JOSD2;SERF2;CNPY2;FITM1;GPX3;SERPING1;SSR4;BLVRB;APRT;SH3BGRL3;SEC13;RHOA;CLIC3;IGFBP6;CYB561D2;SPNS1;RNASEK;IFI27;CHMP2A;ENO1;AURKAIP1;NDUFAF3;ARF4;PRDX1;HCFC1R1;DNAJC15;YIPF2
10,gs_ind_0,upregulated_genes,55/3539,0.00015956820441627743,0.0004787046132488323,2.630963096309631,23.002613256539234,NUAK1;DDAH1;TSSK6;CPEB4;WDPCP;XPR1;FAT1;MYO5A;SMG1;KIF1A;SLK;AMPD3;ACE2;UBR5;DNAH8;ADGRG6;EPHA4;DDX60;NEB;ZSWIM6;ZPLD1;SULT1A3;ADCY2;MID1;CPEB1;PCGF5;ITGA4;SPTBN1;FNDC3B;JADE2;ATP2B2;BICC1;AHCYL1;NEDD9;RNF217-AS1;LINC01258;CHRM3;LRRC72;MACF1;SHISA9;USP53;HERC4;IQSEC3;MYOZ1;DYNC1H1;PAX3;TRABD2B;SYT6;SHC4;ANK3;RERGL;SLC6A6;P3H2;ALDH1A2;ATRNL1
11,gs_ind_0,downregulated_genes,62/2741,0.0018901216257567015,0.0056703648772701044,1.7914302528969444,11.234263517622901,RABAC1;UBL5;CHPF;LMAN1;TMEM147;FUCA2;SLIT3;SC5D;TMEM101;TMED1;SSR4;ATP6AP1;PDIA3;YIF1A;CDC42EP2;ASIC2;LRPAP1;IL13RA1;EMC7;GRN;PPIB;CALR;VKORC1;ITM2B;TMED4;NEU1;NDUFA13;TMEM258;YIPF3;TMED9;S100A1;B2M;ART5;MCFD2;MYDGF;GLMP;SYNGR1;CTSL;SPCS1;LRRC2-AS1;SSR2;CD63;C1GALT1C1;RNASEK;RPN1;HEXA;G6PC3;IFI27;DDOST;HSPA5;ITM2C;LPAR5;CD74;S100A11;SERF2;S100A9;CNPY2;TMED10;CD59;OSTC;TMEM59;LAMP1
14,gs_ind_0,downregulated_genes,25/2741,0.01242487426678239,0.03727462280034717,2.134500632336439,9.366305801729624,ART1;SCML1;HSP90AB1;SNRPA;KMT2E-AS1;THUMPD3-AS1;ATP6AP1;SNHG19;FAM200A;NFYC-AS1;ART5;ZNF674-AS1;M6PR;IP6K3;SYP;RNASEK;TMBIM6;CEP85L;ASH1L-AS1;CCDC71;ZNF852;ZNF425;S100A9;CNBD2;BSG
